capacity_removed,cycle,decentralized_ceiling,g_max,g_mean,g_min,irreducible,kind,n_background,n_controllable,own,peak_to_trough,peer,placebo_days,sigma,u_mean,u_p95
0.017499983310699463,100,,1.0,,0.8712737560272217,,dial,,,,1.14774489402771,,51,0.5,,
0.0350000262260437,100,,1.0,,0.7425475120544434,,dial,,,,1.3467152118682861,,51,1.0,,
0.10500001907348633,100,,1.0,,0.22764253616333008,,dial,,,,4.392852306365967,,51,3.0,,
,,0.20214509963989258,,0.9300000071525574,,0.7978549003601074,ceiling,32,8,0.17151375114917755,,0.030631378293037415,,0.5,0.14442986249923706,0.175199493765831
,,0.4421682357788086,,0.9300000071525574,,0.5578317642211914,ceiling,24,16,0.17489685118198395,,0.2672714591026306,,0.5,0.14976125955581665,0.175199493765831
,,0.6719281673431396,,0.9300000071525574,,0.32807186245918274,ceiling,16,24,0.17593778669834137,,0.4959903657436371,,0.5,0.1515384018421173,0.175199493765831
,,0.9030663967132568,,0.9300000071525574,,0.09693362563848495,ceiling,8,32,0.1765408217906952,,0.7265254855155945,,0.5,0.15267188847064972,0.175199493765831
,,1.0,,0.9300000071525574,,0.0,ceiling,0,40,0.16919250786304474,,0.8308075070381165,,0.5,0.14798182249069214,0.175199493765831
,,0.2020357847213745,,0.8600000143051147,,0.7979642152786255,ceiling,32,8,0.1731472909450531,,0.028888534754514694,,1.0,0.16337421536445618,0.20557166635990143
,,0.44321125745773315,,0.8600000143051147,,0.5567887425422668,ceiling,24,16,0.17639999091625214,,0.2668112814426422,,1.0,0.1699795424938202,0.20557166635990143
,,0.6737767457962036,,0.8600000143051147,,0.326223224401474,ceiling,16,24,0.17739753425121307,,0.4963792562484741,,1.0,0.17218132317066193,0.20557166635990143
,,0.9060918688774109,,0.8600000143051147,,0.09390813112258911,ceiling,8,32,0.1779841184616089,,0.728107750415802,,1.0,0.17363250255584717,0.20557166635990143
,,1.0,,0.8600000143051147,,0.0,ceiling,0,40,0.1709386259317398,,0.8290613889694214,,1.0,0.16718468070030212,0.20557166635990143
,,0.20091241598129272,,0.5799999833106995,,0.7990875840187073,ceiling,32,8,0.18398785591125488,,0.016924520954489708,,3.0,0.39980241656303406,0.6705544590950012
,,0.45249682664871216,,0.5799999833106995,,0.5475031733512878,ceiling,24,16,0.18604767322540283,,0.26644909381866455,,3.0,0.42587000131607056,0.6705544590950012
,,0.6914361119270325,,0.5799999833106995,,0.30856388807296753,ceiling,16,24,0.18666811287403107,,0.5047679543495178,,3.0,0.43455925583839417,0.6705544590950012
,,0.9332444071769714,,0.5799999833106995,,0.06675557047128677,ceiling,8,32,0.18712234497070312,,0.7461220622062683,,3.0,0.4427341818809509,0.6705544590950012
,,1.0,,0.5799999833106995,,0.0,ceiling,0,40,0.1824745386838913,,0.8175254464149475,,3.0,0.4057459235191345,0.6705544590950012
