collided,cond,distance,fit_gain,harm,harm_peak,kind,n,n_agents,offroad,pct_of_b0,sigma,speed,u,x_std
0.0,,7.335855960845947,,1.0,1.0,ladder,,16,0.0,100.0,0.0,0.7192500829696655,0.2081606239080429,
0.0,,7.181581497192383,,1.0141433477401733,1.0609171390533447,ladder,,16,0.0,97.89698074121164,1.0,0.7097020745277405,0.21742454171180725,
0.0,,6.8460869789123535,,1.0705504417419434,1.3805187940597534,ladder,,16,0.0,93.32362870062248,3.0,0.6828919053077698,0.2604033350944519,
0.0062500000931322575,,7.279437065124512,,1.0,1.0,ladder,,40,0.0,100.0,0.0,0.7185817956924438,0.35672274231910706,
0.0020833334419876337,,7.103433132171631,,1.0216150283813477,1.0923899412155151,ladder,,40,0.0,97.58217659719722,1.0,0.7044453620910645,0.3835464119911194,
0.0020833334419876337,,6.776858329772949,,1.1082282066345215,1.610450029373169,ladder,,40,0.0,93.09591207595713,3.0,0.6673033237457275,0.4567762315273285,
0.004166666883975267,,7.202208042144775,,1.0,1.0,ladder,,80,0.0,100.0,0.0,0.7170457243919373,0.5458017587661743,
0.012500000186264515,,6.899016380310059,,1.0263956785202026,1.1146525144577026,ladder,,80,0.0,95.79029569736744,1.0,0.699912428855896,0.5729056596755981,
0.015104166232049465,,6.442750453948975,,1.1439359188079834,1.8423516750335693,ladder,,80,0.0,89.45521173851515,3.0,0.6545696258544922,0.692015528678894,
,14.250716209411621,,0.07790125476905611,,,probe,23040,16,,,1.0,,,1.6397960186004639
,11.386569023132324,,0.15530088032502945,,,probe,23040,16,,,3.0,,,1.6576210260391235
,13.000808715820312,,0.08726025508125876,,,probe,57600,40,,,1.0,,,1.5677704811096191
,9.690343856811523,,0.12580647039161608,,,probe,57600,40,,,3.0,,,1.4926228523254395
,21.706789016723633,,0.03930650514644519,,,probe,115200,80,,,1.0,,,1.6745226383209229
,13.971698760986328,,0.10566278259907111,,,probe,115200,80,,,3.0,,,1.5052521228790283
