applied_trust,arm,clip_frac,delta_abs,delta_nonzero,ff_abs,g3_depth,harm,peer_abs,reached,sat_frac,speed,sweep,track_err,u_err,u_mean
0.30000001192092896,0.2,0.0,0.10391683131456375,1.0,0.00012518362200353295,0.13817175567820617,0.24009619653224945,0.0009260544902645051,0.2511250078678131,0.08920833468437195,0.1816423386335373,u_nominal,0.532267153263092,0.002794619183987379,0.24009619653224945
0.30000001192092896,0.3,0.0008958333055488765,0.19603224098682404,1.0,0.00018522536265663803,0.21699952362736274,0.35538896918296814,0.0012643556110560894,0.24185416102409363,0.26510417461395264,0.17816564440727234,u_nominal,0.5428721308708191,0.003999409265816212,0.35538896918296814
0.30000001192092896,0.4,0.15268750488758087,0.3242010474205017,1.0,0.00023728441738057882,0.29663905284763303,0.45818281173706055,0.0013247489696368575,0.22306250035762787,0.5230833292007446,0.16871154308319092,u_nominal,0.562853217124939,0.004768253769725561,0.45818281173706055
0.30000001192092896,0.5,0.3226666748523712,0.45058032870292664,1.0,0.0002808407589327544,0.37635981626091375,0.5455422401428223,0.001175970770418644,0.1978958398103714,0.6911666393280029,0.15453489124774933,u_nominal,0.5881429314613342,0.005130128003656864,0.5455422401428223
0.30000001192092896,0.6,0.6131458282470703,0.5644856095314026,1.0,0.0003175137971993536,0.45624287386251805,0.6193234324455261,0.0009449950885027647,0.17266666889190674,0.7854999899864197,0.13864129781723022,u_nominal,0.6125303506851196,0.0052506024949252605,0.6193234324455261
0.0,stock,0.0,0.0,0.0,0.0,,0.0,0.0,0.2566249966621399,0.0,0.18271365761756897,ladder,0.5252204537391663,0.0,0.3613252639770508
0.0,blind,0.0,0.0,0.0,0.0,,0.3352012634277344,0.0,0.20093749463558197,0.0,0.15989746153354645,ladder,0.5684104561805725,0.0,0.3352012634277344
0.0,ff,0.0009166666422970593,0.19585779309272766,1.0,0.00018523122707847506,,0.35539689660072327,0.0,0.24177083373069763,0.26468750834465027,0.17817385494709015,ladder,0.5429278016090393,0.0049552288837730885,0.35539689660072327
0.30000001192092896,pact,0.0008958333055488765,0.19603224098682404,1.0,0.00018522536265663803,,0.35538896918296814,0.0012643556110560894,0.24185416102409363,0.26510417461395264,0.17816564440727234,ladder,0.5428721308708191,0.003999409265816212,0.35538896918296814
0.30000001192092896,peer-only,0.0010000000474974513,0.19568155705928802,1.0,0.0,,0.35538288950920105,0.001263521728105843,0.24187499284744263,0.26389583945274353,0.17816266417503357,ladder,0.5429387092590332,0.005098926369100809,0.35538288950920105
0.30000001192092896,level-mode,0.0003958333400078118,0.20488716661930084,1.0,0.00018571090186014771,,0.3560940623283386,0.007463912945240736,0.24235416948795319,0.2699374854564667,0.17883580923080444,ladder,0.5425492525100708,0.028649205341935158,0.3560940623283386
0.0,0,0.0009166666422970593,0.19585779309272766,1.0,0.00018523122707847506,,0.35539689660072327,0.0,0.24177083373069763,0.26468750834465027,0.17817385494709015,max_trust,0.5429278016090393,0.0049552288837730885,0.35539689660072327
0.10000000894069672,0.1,0.0008958333055488765,0.19591359794139862,1.0,0.00018522926256991923,,0.35539427399635315,0.00042115370160900056,0.24179166555404663,0.26493749022483826,0.17817112803459167,max_trust,0.5429092049598694,0.004620506428182125,0.35539427399635315
0.20000001788139343,0.2,0.0008750000270083547,0.19597174227237701,1.0,0.00018522731261327863,,0.35539159178733826,0.000842604145873338,0.24183332920074463,0.26508334279060364,0.1781683713197708,max_trust,0.5428906679153442,0.004300369415432215,0.35539159178733826
0.30000001192092896,0.3,0.0008958333055488765,0.19603224098682404,1.0,0.00018522536265663803,,0.35538896918296814,0.0012643556110560894,0.24185416102409363,0.26510417461395264,0.17816564440727234,max_trust,0.5428721308708191,0.003999409265816212,0.35538896918296814
0.5,0.5,0.0009791667107492685,0.19616027176380157,1.0,0.00018522138998378068,,0.35538363456726074,0.0021087799686938524,0.24185416102409363,0.265562504529953,0.17816005647182465,max_trust,0.5428355932235718,0.003499803598970175,0.35538363456726074
0.8000000715255737,0.8,0.0009791667107492685,0.19636966288089752,1.0,0.00018521551101002842,,0.3553754389286041,0.00337779289111495,0.24191667139530182,0.2659375071525574,0.17815157771110535,max_trust,0.5427815914154053,0.003265933133661747,0.3553754389286041
1.0,1,0.0009583333157934248,0.19652116298675537,1.0,0.00018521153833717108,,0.3553699553012848,0.004225492011755705,0.24191667139530182,0.26637500524520874,0.17814584076404572,max_trust,0.5427462458610535,0.0034718611277639866,0.3553699553012848
1.5,1.5,0.0012083332985639572,0.19694314897060394,1.0,0.00018520157027523965,,0.35535573959350586,0.0063509889878332615,0.242104172706604,0.26741665601730347,0.1781308948993683,max_trust,0.5426607131958008,0.004716136492788792,0.35535573959350586
2.0,2,0.0017083333805203438,0.19741663336753845,1.0,0.00018519139848649502,,0.3553411066532135,0.0084859449416399,0.242125004529953,0.2683541774749756,0.1781153529882431,max_trust,0.5425791144371033,0.006472415756434202,0.3553411066532135
0.0,0,0.007208333350718021,0.2075527310371399,1.0,0.00018796726362779737,,0.36057040095329285,0.0,0.23889583349227905,0.2849999964237213,0.1770424246788025,max_trust_noloop,0.5461557507514954,0.0048138778656721115,0.36057040095329285
0.30000001192092896,0.3,0.007604166865348816,0.20786240696907043,1.0,0.00018796416406985372,,0.36056485772132874,0.0012623523361980915,0.23887500166893005,0.2853958308696747,0.17702966928482056,max_trust_noloop,0.5461192727088928,0.0038793545681983232,0.36056485772132874
0.8000000715255737,0.8,0.008750000037252903,0.20842795073986053,1.0,0.0001879590708995238,,0.3605559170246124,0.0033674738369882107,0.23889583349227905,0.28566667437553406,0.17700830101966858,max_trust_noloop,0.5460608005523682,0.0032341908663511276,0.3605559170246124
1.5,1.5,0.011187500320374966,0.20928670465946198,1.0,0.00018795192590914667,,0.3605436086654663,0.00631715077906847,0.23893749713897705,0.2862291634082794,0.17697806656360626,max_trust_noloop,0.5459827184677124,0.004722669720649719,0.3605436086654663
2.0,2,0.01341666653752327,0.20991848409175873,1.0,0.0001879467599792406,,0.3605350852012634,0.008425825275480747,0.23895832896232605,0.2867291569709778,0.17695622146129608,max_trust_noloop,0.5459300875663757,0.006493436172604561,0.3605350852012634
