W_asym,W_spread,coordination_gap,dead_agents,decentralized_ceiling,g_mean,harm_mean,irreducible,n_agents,n_chan,non_coordinating_ceiling,own_free,phi_cv,severity,speed_mean,sweep,u_mean,u_p95
0.3423539400100708,0.5351204872131348,0.6684110760688782,0.0,0.858161211013794,0.9007934331893921,0.3144514560699463,0.14183877408504486,6,3,0.18975013494491577,0.1897500455379486,0.21190333366394043,0.5,0.16414137184619904,severity,0.3144514560699463,0.39895471930503845
0.3423539400100708,0.5351204872131348,0.6657821536064148,0.0,0.8549429178237915,0.8541823029518127,0.33527958393096924,0.1450570523738861,6,3,0.18916082382202148,0.18916073441505432,0.20938484370708466,1.0,0.16189830005168915,severity,0.33527958393096924,0.45952078700065613
0.3423539400100708,0.5351204872131348,0.6634778380393982,0.0,0.8520843386650085,0.8233148455619812,0.3522682785987854,0.14791564643383026,6,3,0.18860650062561035,0.18860653042793274,0.20782215893268585,1.5,0.15988598763942719,severity,0.3522682785987854,0.5081639289855957
nan,0.0,0.0,1.0,0.8490450382232666,0.8704487681388855,0.3159424662590027,0.150954931974411,1,3,0.8490450382232666,0.8490450978279114,0.21142984926700592,1.0,0.1593654453754425,n_agents,0.3159424662590027,0.43984121084213257
0.5059515833854675,0.6460368037223816,0.5055844783782959,0.0,0.856906533241272,0.8541824221611023,0.33732038736343384,0.14309345185756683,3,3,0.3513220548629761,0.35132208466529846,0.20601211488246918,1.0,0.16125188767910004,n_agents,0.33732038736343384,0.47117263078689575
0.3423539400100708,0.5351204872131348,0.6657821536064148,0.0,0.8549429178237915,0.8541823029518127,0.33527958393096924,0.1450570523738861,6,3,0.18916082382202148,0.18916073441505432,0.20938484370708466,1.0,0.16189830005168915,n_agents,0.33527958393096924,0.45952078700065613
0.3105488121509552,0.5184541344642639,0.7327159643173218,0.0,0.8532860279083252,0.8541824221611023,0.33194640278816223,0.146713986992836,9,3,0.12057000398635864,0.12056998908519745,0.21212704479694366,1.0,0.1603914052248001,n_agents,0.33194640278816223,0.45908311009407043
0.31883227825164795,0.5085293650627136,0.7619850635528564,0.0,0.8516650199890137,0.8541823029518127,0.3294009268283844,0.14833499491214752,12,3,0.08967995643615723,0.08967998623847961,0.22090159356594086,1.0,0.15831466019153595,n_agents,0.3294009268283844,0.4528646767139435
0.1590714454650879,0.23518240451812744,0.7109922766685486,0.0,0.8531908392906189,0.8460492491722107,0.337954044342041,0.1468091756105423,6,2,0.1421985626220703,0.14219845831394196,0.2095841020345688,1.0,0.16167360544204712,n_chan,0.337954044342041,0.4633641839027405
0.3423539400100708,0.5351204872131348,0.6657821536064148,0.0,0.8549429178237915,0.8541823029518127,0.33527958393096924,0.1450570523738861,6,3,0.18916082382202148,0.18916073441505432,0.20938484370708466,1.0,0.16189830005168915,n_chan,0.33527958393096924,0.45952078700065613
0.5014579892158508,0.7631566524505615,0.6573676466941833,0.0,0.8562114238739014,0.8569270968437195,0.3352242410182953,0.14378854632377625,6,4,0.19884377717971802,0.1988438069820404,0.20946449041366577,1.0,0.16191977262496948,n_chan,0.3352242410182953,0.4551658034324646
0.6950361728668213,1.0850025415420532,0.5480061173439026,0.0,0.8571045994758606,0.8628800511360168,0.33426862955093384,0.1428954154253006,6,6,0.309098482131958,0.3090984523296356,0.20911739766597748,1.0,0.16194772720336914,n_chan,0.33426862955093384,0.4498133361339569
